"Date","Price","Open","High","Low","Vol.","Change %"
"01/21/2022","13.4317","13.3551","13.6152","13.1925","","0.59%"
"01/20/2022","13.3530","13.4103","13.5656","13.2608","","-0.16%"
"01/19/2022","13.3746","13.5369","13.7692","13.3275","","-1.15%"
"01/18/2022","13.5303","13.4434","13.7407","13.2917","","0.80%"
"01/17/2022","13.4231","13.5263","13.8041","13.2360","","-0.73%"
"01/14/2022","13.5214","13.5906","13.6668","13.4514","","-0.29%"
"01/13/2022","13.5602","13.2185","13.8072","13.1560","","2.88%"
"01/12/2022","13.1811","13.8043","13.9378","13.1475","","-4.47%"
"01/11/2022","13.7972","13.8140","13.9637","13.5385","","-0.07%"
"01/10/2022","13.8074","13.8645","14.0410","13.5240","","-0.46%"
"01/07/2022","13.8710","13.8608","14.0133","13.5630","","0.36%"
"01/06/2022","13.8211","13.6807","13.9521","13.3478","","1.27%"
"01/05/2022","13.6471","13.4116","13.7644","13.1607","","2.36%"
"01/04/2022","13.3328","13.1420","13.6875","12.8715","","1.64%"
"01/03/2022","13.1178","13.4533","14.0505","12.6503","","-1.49%"
"12/31/2021","13.3161","13.1514","13.6993","12.9045","","2.84%"
"12/30/2021","12.9481","12.6357","13.5264","12.3795","","2.47%"
"12/29/2021","12.6359","11.8050","12.7776","11.7685","","7.10%"
"12/28/2021","11.7978","11.6822","12.0285","11.5031","","1.01%"
"12/27/2021","11.6801","10.7512","11.8655","10.6654","","9.69%"
"12/24/2021","10.6480","11.3913","12.3187","10.3632","","-3.95%"
"12/23/2021","11.0862","11.9946","12.3665","10.1565","","-7.48%"
"12/22/2021","11.9825","12.4331","12.8375","11.9650","","-3.62%"
"12/21/2021","12.4331","13.3820","14.1888","11.5936","","-7.94%"
"12/20/2021","13.5050","16.4848","18.3674","13.5055","","-17.72%"
"12/17/2021","16.4135","15.6708","17.1630","15.6244","","4.76%"
"12/16/2021","15.6674","14.7984","15.7790","14.7820","","5.95%"
"12/15/2021","14.7875","14.3906","14.8770","14.3588","","2.79%"
"12/14/2021","14.3856","13.8139","14.4606","13.7861","","4.28%"
"12/13/2021","13.7953","13.8725","14.6605","13.6450","","-0.59%"
"12/10/2021","13.8774","13.7853","13.9743","13.7202","","0.69%"
"12/09/2021","13.7817","13.6765","13.8602","13.6103","","0.80%"
"12/08/2021","13.6720","13.4935","13.8445","13.4672","","1.33%"
"12/07/2021","13.4925","13.8000","13.8555","13.4175","","-2.13%"
"12/06/2021","13.7866","13.6941","13.9335","13.6235","","0.63%"
"12/03/2021","13.7000","13.6834","13.9745","13.3215","","0.63%"
"12/02/2021","13.6145","13.2656","13.8522","13.2294","","2.65%"
"12/01/2021","13.2635","13.4856","13.8983","12.3977","","-1.56%"
"11/30/2021","13.4732","12.8264","13.7466","12.7063","","5.24%"
"11/29/2021","12.8025","12.4014","12.9380","12.3266","","3.06%"
"11/26/2021","12.4229","11.9886","12.7053","11.8965","","4.37%"
"11/25/2021","11.9029","12.0876","12.2650","11.8044","","-1.51%"
"11/24/2021","12.0855","12.8215","13.1945","11.5410","","-5.72%"
"11/23/2021","12.8192","11.3827","13.5277","11.3306","","12.66%"
"11/22/2021","11.3790","11.2305","11.4909","10.9373","","1.32%"
"11/19/2021","11.2310","11.0666","11.3482","10.8070","","2.16%"
"11/18/2021","10.9935","10.6282","11.3225","10.4340","","3.61%"
"11/17/2021","10.6103","10.3441","10.6950","10.3002","","2.62%"
"11/16/2021","10.3395","10.0606","10.4223","10.0428","","2.88%"
"11/15/2021","10.0505","9.9885","10.0862","9.9364","","0.76%"
"11/12/2021","9.9751","9.9046","10.0280","9.8653","","0.86%"
"11/11/2021","9.8899","9.8470","9.9804","9.8259","","0.53%"
"11/10/2021","9.8379","9.7330","9.8835","9.7165","","1.16%"
"11/09/2021","9.7252","9.6853","9.7439","9.6513","","0.48%"
"11/08/2021","9.6791","9.6955","9.7526","9.6510","","0.05%"
"11/05/2021","9.6741","9.6895","9.7543","9.6612","","-0.18%"
"11/04/2021","9.6917","9.6448","9.7749","9.6237","","0.65%"
"11/03/2021","9.6290","9.6034","9.7756","9.5774","","0.36%"
"11/02/2021","9.5944","9.5392","9.6171","9.4570","","0.65%"
"11/01/2021","9.5325","9.6070","9.6204","9.4793","","-0.73%"
"10/29/2021","9.6030","9.5435","9.6367","9.5003","","0.81%"
"10/28/2021","9.5262","9.4960","9.6377","9.4653","","0.50%"
"10/27/2021","9.4789","9.5438","9.5579","9.4485","","-0.57%"
"10/26/2021","9.5335","9.5884","9.6318","9.3990","","-0.50%"
"10/25/2021","9.5811","9.6049","9.8595","9.5297","","0.06%"
"10/22/2021","9.5757","9.5189","9.6651","9.4760","","0.74%"
"10/21/2021","9.5050","9.2164","9.5532","9.1962","","3.21%"
"10/20/2021","9.2098","9.3016","9.3619","9.1956","","-0.88%"
"10/19/2021","9.2918","9.3344","9.3823","9.2400","","-0.35%"
"10/18/2021","9.3248","9.2608","9.3667","9.2342","","0.79%"
"10/15/2021","9.2517","9.1877","9.2836","9.1663","","0.84%"
"10/14/2021","9.1750","9.0675","9.2083","9.0564","","1.04%"
"10/13/2021","9.0806","9.0428","9.1149","9.0012","","0.52%"
"10/12/2021","9.0340","8.9997","9.0543","8.9780","","0.50%"
"10/11/2021","8.9890","8.9822","9.0209","8.9085","","0.31%"
"10/08/2021","8.9614","8.8773","8.9900","8.8498","","1.03%"
"10/07/2021","8.8697","8.8775","8.9110","8.8373","","0.00%"
"10/06/2021","8.8695","8.8740","8.9447","8.8571","","0.01%"
"10/05/2021","8.8688","8.8578","8.9002","8.8373","","0.19%"
"10/04/2021","8.8521","8.8615","8.8871","8.8230","","-0.04%"
"10/01/2021","8.8552","8.8909","8.9072","8.8133","","-0.35%"
"09/30/2021","8.8862","8.9239","8.9447","8.8505","","-0.28%"
"09/29/2021","8.9111","8.8767","8.9607","8.8250","","0.51%"
"09/28/2021","8.8657","8.8224","8.8979","8.8113","","0.58%"
"09/27/2021","8.8146","8.8833","8.9027","8.8063","","-0.72%"
"09/24/2021","8.8786","8.7680","8.9010","8.7472","","1.33%"
